"","coef","expcoef","lower95","upper95","se"
"Parent_Genderfemale",-4.16588668389694,0.0155159510549711,0.00496779000446183,0.0484611340101,0.581078800408648
"Parent_Gendermale",-3.83080824495364,0.0216920760316709,0.00659690782520009,0.0713282912285531,0.607330550716472
"Genderfemale",-3.59244680009862,0.0275308853715758,0.00741840672990483,0.102171487347469,0.669065442800419
"Gendermale",-2.66437259840138,0.0696430339800967,0.0178379700618773,0.271900455328068,0.694937946011198
"Parent_Age1",-1.88206825592365,0.152274836507893,0.0822287245084151,0.281989365299379,0.314384519473093
"Parent_Age2",-0.401326771418934,0.669431274285875,0.408913557731357,1.0959241201937,0.251496827511235
"Parent_Age3",-0.823734126235636,0.438790093914592,0.266377323308404,0.722797061425018,0.254651281531961
"Parent_Age4",3.26749482849144,26.2455074201495,5.28572751113528,130.318231178204,0.817609188454061
"Age1",1.62595223361491,5.08325718165423,1.14168770123176,22.6327248221744,0.761975545511084
"Age2",0.551208169258808,1.73534834638219,0.682009284014539,4.41553209593437,0.476498642287428
"Age3",0.180389682263929,1.19768398840618,0.407999896565507,3.5158022052445,0.549437667657226
"Age4",-0.510560753040967,0.600158943483823,0.103216947973622,3.48964743208323,0.898160106875427
"Same_Relationship_to_Parent_as_They_Had_to_Their_Parent1",0.566909432042221,1.76281053814954,1.31814660029397,2.35747753149616,0.148310262373291
"Same_Relationship_to_Parent_as_They_Had_to_Their_Parent2",-0.786358081926474,0.455500674302498,0.198446376041705,1.04552609338871,0.423925279170367
"Relationship_with_Parent1",-0.0506887694365214,0.95057447232741,0.408819542985792,2.21024616592739,0.430514373078419
"Relationship_with_Parent2",0.30449326313317,1.35593772525193,0.558889245524307,3.28968061111389,0.452200767582406
"Relationship_with_Parent3",-0.333881724337299,0.716138478971514,0.294719428938131,1.74014425486449,0.452992884678026
"Relationship_with_Parent4",1.18247663367436,3.26244408457502,0.866146543741589,12.2883840868318,0.676633759482102
"Relationship_with_Parent5",-0.735844726836523,0.479100578876057,0.189079218415919,1.21397457955669,0.474368145118308
"Relationship_with_Parent100",-0.13052162522582,0.877637513634103,0.363430363696051,2.11938154397587,0.44982762630563
"Parent_Child_LocationDifferent Country",0.313135229762816,1.36770647314445,1.11803296700305,1.67313581252933,0.102840852982095
"Parent_Child_LocationDifferent City",0.575026484128536,1.77717759329059,1.4698339330059,2.14878710252328,0.0968778314099544
"Parent_Child_LocationSame City",0.723980311319226,2.06262679008782,1.54542273539074,2.75292266495117,0.147289861208048
"Parent_Number_of_Children",-0.00380445911319327,0.996202768672535,0.995091990511359,0.997314786747342,0.000569211586238362
"Number_of_Children",0.102371457431067,1.10779489395574,1.06270747087996,1.1547952382966,0.0212001793369133
"Depth_in_Invite_Chain",-0.256316763676476,0.773896787570402,0.692447689380507,0.864926328727594,0.0567387052901254
"Parent_Join_Time_numeric_days",0.1436404021323,1.15446888932249,1.13298437835093,1.17636080592163,0.00958446593555845
"Parent_Genderfemale:Genderfemale",4.13549520905682,62.5205441454093,16.5247069580019,236.543888504193,0.67890969794585
"Parent_Gendermale:Genderfemale",3.99042023622047,54.0776099594048,13.8330812785457,211.405386842993,0.695603250569877
"Parent_Genderfemale:Gendermale",3.26469479007106,26.1721217802631,6.48464553145819,105.631056494601,0.711879220517261
"Parent_Gendermale:Gendermale",2.97474663543299,19.5846605618945,4.7923564112749,80.0355600477114,0.718239933070258
"Parent_Age1:Age1",-1.30882093354306,0.270138379787926,0.0642047134564131,1.13659481221712,0.73310414397801
"Parent_Age2:Age1",-2.29644002084484,0.10061639918395,0.0205542215068591,0.492534333220336,0.810345967933841
"Parent_Age3:Age1",-3.09214234743648,0.045404577753801,0.00788617946389675,0.261416277734857,0.893129237515887
"Parent_Age4:Age1",NA,NA,NA,NA,0
"Parent_Age1:Age2",-0.178349832243954,0.836649685250322,0.363177854224999,1.92738265201546,0.42577964825001
"Parent_Age2:Age2",-1.13263182790232,0.32218420625167,0.123560549670886,0.840095508109232,0.488984563993972
"Parent_Age3:Age2",-1.43457775159214,0.238215929078254,0.0854429696928778,0.664148601934019,0.523136344967787
"Parent_Age4:Age2",-4.52327118466216,0.0108534618576803,0.0010645317032618,0.110656764786978,1.18468968074111
"Parent_Age1:Age3",4.36590815834235,78.7208584933832,7.49023383827882,827.340467031303,1.20017926849235
"Parent_Age2:Age3",-0.773012489094317,0.461620345327072,0.152767888817306,1.39488307961578,0.564205819944733
"Parent_Age3:Age3",-0.388404441190651,0.678138020845624,0.225298769862625,2.04116150122268,0.562216172877282
"Parent_Age4:Age3",-4.11925573600459,0.0162566091494413,0.00170134974621056,0.155333929209045,1.15159138452844
"Parent_Age1:Age4",NA,NA,NA,NA,0
"Parent_Age2:Age4",-0.0903377334663088,0.913622572241466,0.147190674990584,5.67091770292182,0.931490938036236
"Parent_Age3:Age4",0.157050407360007,1.17005459177748,0.167557270831851,8.17050636443835,0.991589893198379
"Parent_Age4:Age4",NA,NA,NA,NA,0
